EMP_ID,ANNUAL_RATE,HRLY_RATE,JOB_SATISFACTION,NUMBER_OF_TEAM_CHANGED,HIRE_MONTH,REHIRE,IS_FIRST_JOB,TRAVELLED_REQUIRED,PERFORMANCE_RATING,DISABLED_EMP,DISABLED_VET,EDUCATION_LEVEL,,JOB_GROUP,PREVYR_1,PREVYR_2,PREVYR_3,PREVYR_4,PREVYR_5,STATUS,TERMINATION_YEAR
3285941608,33615,22,4,3+,June,FALSE,N,N,4,N,N,LEVEL 2,,Plant & Facilities Maintenance,0,0,0,0,0,T,2008
3687079832,70675,40,3,3+,June,FALSE,Y,N,3,N,N,LEVEL 1,,Customer Care,3,3,3,2,3,A,na
7209970080,34320,23,5,2,February,FALSE,Y,N,3,N,N,LEVEL 1,,Customer Care,3,3,3,2,3,A,na
9084013977,103199,59,2,0,October,TRUE,N,Y,2,N,N,LEVEL 1,,Finance,0,0,0,0,0,T,2005
4566148978,141801,71,4,3,May,FALSE,N,N,4,N,N,LEVEL 1,,Marketing - Direct,2,2,2,2,2,A,na
8895282892,31615,22,4,3,March,FALSE,N,N,5,N,N,LEVEL 1,,Physical Flows,3,3,3,3,3,A,na
3581979012,91425,52,3,3+,April,FALSE,N,N,3,Y,N,LEVEL 3,,Marketing - Direct,2,2,2,2,3,A,na
4382202170,189200,97,4,3,August,FALSE,N,N,5,N,N,LEVEL 1,,Finance,4,3,3,4,3,A,na
2180798331,144069,73,2,1,July,FALSE,N,N,2,N,N,LEVEL 4,,Tax,3,3,3,3,3,A,na
7830342455,205811,105,2,1,March,FALSE,N,N,3,N,N,LEVEL 3,,General Administration,2,2,2,2,2,A,na
4115283816,146290,80,4,3+,October,TRUE,N,N,2,N,N,LEVEL 1,,Production & Operations,0,0,0,0,0,T,2006
1620006883,113278,62,2,0,January,FALSE,N,N,5,N,N,LEVEL 3,,R&I Development/Pre-Develpmnt,1,1,2,1,1,A,na
8073813147,104108,57,2,0,September,FALSE,N,N,2,Y,N,LEVEL 2,,Sourcing,3,0,0,0,0,T,2008
2162040836,133638,70,5,2,October,FALSE,N,N,5,N,N,LEVEL 1,,IT Business Applications,3,2,2,2,2,T,2016
2866912931,67308,38,2,1,October,FALSE,N,N,3,N,N,LEVEL 2,,Production & Operations,2,0,0,0,0,A,na
1823415380,264938,134,5,2,December,FALSE,N,Y,3,N,N,LEVEL 3,,Human Resources,2,3,3,2,2,A,na
9046570171,128683,68,2,1,May,FALSE,N,N,2,N,N,LEVEL 2,,Promotional Purchasing,3,3,3,3,3,A,na
9146671697,86243,49,2,1,July,FALSE,N,N,3,N,N,LEVEL 1,,Creative Service/Copy,0,0,0,0,0,T,2007
1959332171,109863,60,1,0,February,FALSE,N,N,1,N,N,LEVEL 4,,Sourcing,3,3,3,4,3,A,na
2555276431,104722,57,1,1,March,FALSE,N,N,2,N,N,LEVEL 3,,R&I Development/Pre-Develpmnt,3,3,3,2,2,A,na
7204844783,101439,57,1,0,January,FALSE,N,N,1,N,Y,LEVEL 3,,IT Business Applications,3,3,3,3,2,A,na
7293309019,188196,98,2,0,July,FALSE,N,N,2,N,N,LEVEL 4,,Engineering,3,3,3,3,3,A,na
4349617418,151066,82,4,2,October,FALSE,N,N,3,N,N,LEVEL 1,,IT Business Applications,3,2,2,2,2,A,na
3255121382,157450,81,5,2,May,FALSE,N,N,5,N,N,LEVEL 2,,Supply Chain Finance,3,3,3,3,3,A,na
6232440885,166193,86,1,0,August,FALSE,N,N,2,N,N,LEVEL 2,,Technical Packaging,0,0,0,0,0,T,2006
2616470169,362990,184,1,1,March,FALSE,N,N,5,N,N,LEVEL 3,,Finance,0,0,0,2,2,A,na
9000783986,107680,56,4,3+,January,FALSE,N,Y,3,N,N,LEVEL 2,,Customer Care,3,3,3,3,3,A,na
8801456416,166158,86,4,2,January,FALSE,N,N,1,N,N,LEVEL 2,,Legal,0,0,0,0,0,T,2006
1713479374,119823,63,4,2,March,TRUE,N,N,2,N,N,LEVEL 3,,Sourcing,3,3,3,2,2,A,na
2671555317,231951,117,2,1,June,FALSE,N,N,2,N,N,LEVEL 1,,Human Resources,2,2,2,2,2,A,na
7071063601,62465,36,1,0,December,FALSE,N,N,4,N,N,LEVEL 3,,Finance,0,0,0,0,0,T,2006
2986982917,189986,102,1,0,July,FALSE,N,Y,5,N,N,LEVEL 1,,Human Resources,1,2,2,1,1,A,na
3590630310,177117,91,5,3,January,FALSE,N,N,5,N,N,LEVEL 3,,Customer Care,3,3,3,3,3,A,na
1663701680,111034,60,5,2,August,FALSE,N,N,5,N,N,LEVEL 2,,Quality Assurance,3,3,4,3,3,T,2014
1209010042,128269,67,3,3+,August,FALSE,N,N,3,N,N,LEVEL 1,,Quality Assurance,3,2,2,3,3,A,na
8584237466,244517,123,4,2,December,FALSE,N,N,1,N,N,LEVEL 3,,Accounting,2,2,2,2,2,A,na
7914722440,89954,49,3,3+,August,TRUE,N,N,5,N,N,LEVEL 3,,Marketing Support/Services,0,0,0,0,0,T,2005
2842315024,219807,113,5,2,March,FALSE,N,N,2,N,N,LEVEL 1,,Promotional Purchasing,0,2,2,2,0,A,na
5279253304,211744,105,4,2,January,FALSE,Y,Y,4,N,N,LEVEL 3,,Physical Flows,3,2,2,2,2,A,na
3733328503,150134,81,1,0,April,FALSE,N,N,4,N,N,LEVEL 3,,Supply Chain Finance,3,2,2,2,3,A,na
7158539000,94348,53,4,2,February,FALSE,N,N,5,N,N,LEVEL 2,,Manufacturing Supply Chain,2,3,2,3,3,A,na
7189612437,141334,73,1,0,February,FALSE,N,Y,3,N,N,LEVEL 1,,Market Supply Logistics,3,3,2,2,2,A,na
1457414746,185208,93,5,3+,March,FALSE,Y,N,5,N,N,LEVEL 1,,Sourcing,2,2,2,2,2,A,na
4077159779,138772,72,2,0,February,FALSE,N,N,2,N,N,LEVEL 1,,Market Research,3,3,3,3,3,A,na
7018752185,105819,58,1,1,October,FALSE,N,N,1,N,N,LEVEL 2,,Production & Operations,0,0,0,0,0,T,2007
4955839415,182842,94,1,0,August,FALSE,N,N,1,Y,N,LEVEL 3,,Manufacturing Supply Chain,2,2,1,1,1,A,na
1882918291,88846,53,2,0,June,FALSE,N,N,2,N,Y,LEVEL 5,,General Administration,2,2,2,2,2,A,na
2528201202,101882,55,3,3,January,FALSE,N,N,5,N,N,LEVEL 2,,Physical Flows,3,3,2,0,3,A,na
3320993935,133096,70,2,0,August,FALSE,N,N,5,N,N,LEVEL 3,,Customer Care,2,2,2,2,2,A,na
6670659483,231951,120,2,1,October,TRUE,N,Y,3,N,N,LEVEL 2,,Production & Operations,4,0,0,0,0,T,2008
6380962230,111905,63,5,3,October,FALSE,N,N,1,Y,N,LEVEL 1,,Manufacturing Supply Chain,2,2,2,2,3,A,na
6012963848,226486,118,5,3+,October,FALSE,N,N,4,N,N,LEVEL 5,,Sourcing,2,2,1,2,2,A,na
6712429350,120946,63,4,2,August,FALSE,N,N,4,N,N,LEVEL 2,,Accounting,2,2,2,2,3,A,na
7972600494,191903,101,3,3+,November,FALSE,N,N,5,N,N,LEVEL 3,,Supply Chain Administration,3,3,2,2,2,A,na
8693632574,250406,129,5,3,October,FALSE,N,N,1,N,N,LEVEL 3,,Physical Flows,0,0,0,2,2,A,na
2460260060,113503,62,3,3+,July,FALSE,N,N,1,N,Y,LEVEL 3,,Physical Flows,3,3,2,2,2,A,na
5222666919,175880,93,2,1,June,FALSE,N,Y,1,N,N,LEVEL 2,,Engineering,0,0,0,0,0,T,2007
9086553823,80064,46,1,1,July,FALSE,N,Y,2,N,N,LEVEL 2,,Production & Operations,0,0,0,0,0,A,na
1438159008,108024,56,5,3+,September,TRUE,N,Y,4,N,N,LEVEL 3,,Industrial Quality,3,3,3,2,3,A,na
9121319194,99908,57,4,2,October,TRUE,Y,Y,5,Y,N,LEVEL 5,,Customer Care,3,2,2,2,2,A,na
9105693862,154023,82,4,3+,November,FALSE,Y,N,3,N,N,LEVEL 1,,Accounting,2,2,2,2,2,A,na
6317496092,96743,50,5,3,September,FALSE,N,Y,4,Y,N,LEVEL 2,,Technical Packaging,3,3,4,0,0,T,2010
8056923166,107976,57,4,3,July,TRUE,N,N,4,N,N,LEVEL 1,,Human Resources,3,2,2,2,2,A,na
5250513196,124506,68,5,3+,August,FALSE,N,N,3,Y,N,LEVEL 2,,Package Development,3,3,3,3,3,A,na
2627363575,91341,63,1,1,April,FALSE,N,N,4,N,N,LEVEL 1,,Sourcing,2,3,3,0,2,A,na
3338791431,124342,67,1,0,September,FALSE,N,N,5,N,N,LEVEL 4,,Customer Care,3,3,3,3,2,A,na
8746362922,145190,75,5,3,September,FALSE,N,N,2,N,Y,LEVEL 1,,Creative Service/Copy,2,2,2,0,0,A,na
2241465920,106845,56,5,3,June,FALSE,Y,N,4,N,N,LEVEL 1,,Sourcing,3,3,3,0,0,T,2010
7830596094,185531,98,5,2,July,FALSE,N,N,2,N,N,LEVEL 3,,Finance,2,2,2,2,0,A,na
7143541300,258998,134,4,3+,November,FALSE,N,N,4,N,Y,LEVEL 1,,Legal,2,0,0,0,0,A,na
6839654669,114266,59,2,0,February,FALSE,N,Y,2,N,N,LEVEL 1,,Flows & Sub-Contracting,2,2,2,3,3,A,na
8734014928,254557,126,3,2,August,TRUE,N,N,3,N,N,LEVEL 1,,Creative Service/Copy,2,2,2,2,1,A,na
6068812213,95338,54,2,0,June,FALSE,N,N,1,N,N,LEVEL 1,,Sourcing,2,3,2,3,3,A,na
